respondent_id,degree,betweenness,eigenvector
114,15.20081288520024,0.14307116104868914,0.3070997147306249
104,15.043167431747703,0.165792759051186,0.29773807785646367
81,10.633442788617371,0.03845193508114856,0.25907872876113236
61,9.084674071048289,0.04519350811485643,0.2213789142680101
110,10.618084232211498,0.07091136079900125,0.21715902341631205
67,8.505050974010956,0.020474406991260925,0.20287983609504373
90,10.858922918896244,0.08039950062421972,0.19329065314772007
95,10.621649094308388,0.08938826466916354,0.19083927969456357
86,6.319797265144438,0.0027465667915106116,0.18648600175781188
49,7.984638127821949,0.04269662921348315,0.18059870372906142
38,7.149604253047257,0.009238451935081148,0.16764356859127905
50,7.306759999067067,0.022971285892634207,0.15958731233759632
55,7.619387580797656,0.049937578027465665,0.14973366221134146
57,8.422622206765546,0.03420724094881398,0.1481507898845611
83,6.474055626059939,0.006741573033707865,0.14395928518418882
54,5.362958835765002,0.0029962546816479398,0.13799166604695756
13,4.812898643908278,0.0007490636704119849,0.13673993437919882
35,4.863733156191488,0.007740324594257178,0.12614896602361864
20,4.004610865343805,0.0,0.1258351000478437
21,4.9087723480601415,0.007740324594257178,0.12394491086860866
70,6.353664604425441,0.05717852684144819,0.12337852913197483
32,5.30463858496565,0.02372034956304619,0.11300962646478115
37,5.609549429036617,0.014232209737827715,0.11261522239759296
94,5.288141105416754,0.02247191011235955,0.10838055987082927
46,3.7735961303099037,0.0,0.10665964767238988
66,5.142455172123277,0.0299625468164794,0.10550303034435139
16,4.376780130513712,0.0034956304619225965,0.10508815013639566
18,4.539406504909792,0.0,0.10422834018928766
64,3.714339437446939,0.0019975031210986267,0.10317062862768014
97,4.457053591543907,0.03595505617977528,0.09874015693819208
39,8.284655316453653,0.06541822721598002,0.09793459679173273
53,5.145095797614306,0.018476903870162296,0.09621894693326118
41,4.184319889397594,0.007240948813982522,0.0951878611332246
43,4.281797024992958,0.00449438202247191,0.09002396564344366
74,3.842108815955864,0.00024968789013732833,0.08482209202942984
29,3.51644233531467,0.00024968789013732833,0.08396574452557562
19,4.497758567297227,0.0027465667915106116,0.08343628901000469
24,4.578407480691531,0.009987515605493134,0.08254779501047184
45,4.205980996095578,0.003745318352059925,0.0821221096557026
12,4.291618062554326,0.006991260923845193,0.07927750174324003
77,5.983773031725281,0.07565543071161049,0.07758883303486619
31,3.073772737400932,0.0,0.07300049897019704
105,5.3577940688982375,0.018476903870162296,0.07085128262268986
11,4.488929421048034,0.005243445692883895,0.06724248416025595
59,2.720701696263993,0.0004993757802746567,0.06637605501185853
22,2.594409032237037,0.0009987515605493133,0.05972986397009513
72,3.7165435396965005,0.0059925093632958795,0.05880577927379102
80,3.0456737334799175,0.026466916354556804,0.05858890131677487
52,3.450789292407685,0.02971285892634207,0.05728478210038788
92,2.807590498293385,0.0004993757802746567,0.057177404553112945
121,5.870359936804199,0.02122347066167291,0.05638737325947577
14,4.097541573885299,0.011485642946317104,0.05597596907082579
17,3.4158915881323417,0.0027465667915106116,0.05103169881696046
85,2.3068707564273576,0.005243445692883895,0.05023103530504427
93,4.046933067121042,0.051935081148564294,0.049201634233749854
26,3.109201850515125,0.03495630461922597,0.047019349433401185
36,3.0096772534641936,0.009987515605493134,0.04612248327640834
48,2.8602420282625047,0.011735330836454432,0.04563775309001831
58,2.2707553664522284,0.0029962546816479398,0.043043006951767035
99,3.1835935301726384,0.0032459425717852684,0.035377148709343845
91,1.9726490954260512,0.006242197253433208,0.032176550291296
113,4.404956180892478,0.03745318352059925,0.027904951390541242
69,1.903863169633951,0.0012484394506866417,0.02666090806727641
118,2.6335802698332706,0.011735330836454432,0.02629345055986185
126,2.306836973101923,0.019975031210986267,0.02550207355196532
63,1.978029326346331,0.0014981273408239699,0.024620908603365372
65,1.184144571680752,0.0,0.024513900515683005
106,2.3310557355451293,0.004993757802746567,0.02100079825886466
84,1.6031661116535278,0.0004993757802746567,0.020368965099445045
30,3.4293893621027873,0.01622971285892634,0.01704602447895771
82,2.8033525793746685,0.00449438202247191,0.016753683346218372
42,2.2336608734280037,0.008489388264669164,0.014843356531428481
103,0.9816092229594601,0.0,0.012194938044277757
62,2.8737322600233823,0.0149812734082397,0.012121829787804213
56,2.1489244220318797,0.003995006242197253,0.011801952709583872
87,3.570544198528401,0.07465667915106117,0.011733398664353615
40,1.6241896001550429,0.0034956304619225965,0.011659632536811643
101,0.4009456904127077,0.0,0.011582482749195211
108,0.6212981115820806,0.0,0.0106924876783521
109,0.4359922311788285,0.0,0.008039506827558307
89,0.7879733859613679,0.0,0.007758398412294523
79,1.948706153439723,0.00749063670411985,0.0051209777685625
111,0.4349588362008399,0.0,0.005043834211372266
117,0.9199765013517799,0.00024968789013732833,0.005026930914404817
102,1.6068252301899946,0.0032459425717852684,0.00439173129955216
116,0.530194025443631,0.0,0.0037257365289203037
115,0.4497262370071578,0.0,0.0018756650848330062
125,0.6810218023140766,0.0034956304619225965,0.0007325731395061288
123,0.36266107904271605,0.0,0.0006359626944863156
120,0.28641098093474,0.0,0.0005022504748690493
119,0.37219995981659815,0.0009987515605493133,0.00040883800389501334
